
package_name                                                package_versions               sources
------------                                                ----------------               -------
02-echo                                                     0.0.7                          datadog, helixguard, koi, reversi…
@accordproject/concerto-analysis                            3.24.1                         helixguard, koi, reversinglabs, s…
@accordproject/concerto-linter                              3.24.1                         helixguard, koi, reversinglabs, s…
@accordproject/concerto-linter-default-ruleset              3.24.1                         datadog, helixguard, koi, reversi…
@accordproject/concerto-metamodel                           3.12.5                         datadog, helixguard, koi, reversi…
@accordproject/concerto-types                               3.24.1                         datadog, helixguard, koi, reversi…
@accordproject/markdown-it-cicero                           0.16.26                        datadog, helixguard, koi, reversi…
@accordproject/template-engine                              2.7.2                          datadog, helixguard, koi, reversi…
@actbase/css-to-react-native-transform                      1.0.3                          datadog, helixguard, koi, reversi…
@actbase/native                                             0.1.32                         datadog, helixguard, koi, reversi…
@actbase/node-server                                        1.1.19                         datadog, helixguard, koi, reversi…
@actbase/react-absolute                                     0.8.3                          datadog, helixguard, koi, reversi…
@actbase/react-daum-postcode                                1.0.5                          datadog, helixguard, koi, reversi…
@actbase/react-kakaosdk                                     0.9.27                         datadog, helixguard, koi, reversi…
@actbase/react-native-actionsheet                           1.0.3                          datadog, helixguard, koi, reversi…
@actbase/react-native-devtools                              0.1.3                          datadog, helixguard, koi, reversi…
@actbase/react-native-fast-image                            8.5.13                         datadog, helixguard, koi, reversi…
@actbase/react-native-kakao-channel                         1.0.2                          datadog, helixguard, koi, reversi…
@actbase/react-native-kakao-navi                            2.0.4                          datadog, helixguard, koi, reversi…
@actbase/react-native-less-transformer                      1.0.6                          datadog, helixguard, koi, reversi…
@actbase/react-native-naver-login                           1.0.1                          datadog, helixguard, koi, reversi…
@actbase/react-native-simple-video                          1.0.13                         datadog, helixguard, koi, reversi…
@actbase/react-native-tiktok                                1.1.3                          datadog, helixguard, koi, reversi…
@afetcan/api                                                0.0.13                         datadog, helixguard, koi, socketd…
@afetcan/storage                                            0.0.27                         helixguard, koi, socketdev, steps…
@alaan/s2s-auth                                             2.0.3                          helixguard, koi, reversinglabs, s…
@alexadark/amadeus-api                                      1.0.4                          helixguard, koi, socketdev, steps…
@alexadark/gatsby-theme-events                              1.0.1                          datadog, helixguard, koi, socketd…
@alexadark/gatsby-theme-wordpress-blog                      2.0.1                          datadog, helixguard, koi, socketd…
@alexadark/reusable-functions                               1.5.1                          helixguard, koi, socketdev, steps…
@alexcolls/nuxt-socket.io                                   0.0.7, 0.0.8                   datadog, helixguard, koi, reversi…
@alexcolls/nuxt-ux                                          0.6.1, 0.6.2                   datadog, helixguard, koi, reversi…
@antstackio/eslint-config-antstack                          0.0.3                          datadog, helixguard, koi, reversi…
@antstackio/express-graphql-proxy                           0.2.8                          datadog, helixguard, koi, reversi…
@antstackio/graphql-body-parser                             0.1.1                          datadog, helixguard, koi, reversi…
@antstackio/json-to-graphql                                 1.0.3                          datadog, helixguard, koi, reversi…
